date,BC,CO,FL,GA,MA,OH,OR,TX,WA
100,7143,1045,8175,6806,9523,3433,11282,7329,1027
104,8231,926,5153,4099,5601,1845,10951,5731,1196
108,8182,661,2936,2172,2907,1014,9536,3547,1029
112,6244,337,1601,1238,1680,546,6866,2154,675
117,4095,156,949,744,960,322,4142,1444,329
121,2466,87,516,419,518,197,2366,936,174
125,1448,49,282,229,239,90,1427,585,103
129,849,22,143,163,172,63,1004,415,84
133,450,13,174,181,145,45,667,190,40
138,232,6,413,330,387,149,349,147,23
142,147,11,903,672,1026,387,269,238,14
146,100,20,1713,1319,2696,769,342,654,71
150,118,46,2617,1849,3682,899,856,1778,96
154,344,141,3113,2140,3930,1115,1435,2666,142
158,810,257,3644,2491,4226,1471,2459,3171,243
163,1411,387,5261,3954,5780,2576,3688,3688,300
167,1835,395,7959,6645,9313,4080,4257,5703,404
171,2386,619,8160,6880,10136,3743,4958,8535,447
175,3382,959,6747,5551,8232,2761,7759,8471,778
179,5762,983,5561,4426,6842,2282,11888,6644,1088
183,6213,803,5516,4405,6789,2581,10861,5534,1042
188,5172,649,6604,5134,8629,3760,8732,5453,822
192,4332,607,8947,6645,11433,5421,7804,6279,705
196,4007,832,9791,7697,12602,5344,7756,7170,711
200,4949,948,8077,6698,9819,4112,9292,7317,967
204,6483,960,5171,4379,6211,2309,10597,5914,1122
208,6813,647,2916,2407,3300,1077,9301,3826,1062
213,5452,389,1535,1317,1751,598,6913,2250,706
217,3751,175,888,737,912,321,3989,1400,382
221,2265,88,508,436,496,174,2256,809,173
225,1227,43,235,251,233,72,1354,484,121
229,702,24,109,163,146,58,934,361,54
233,402,16,118,140,158,54,608,187,36
238,216,9,384,285,413,172,284,143,30
242,115,9,959,748,1218,445,258,256,16
246,78,19,1829,1541,3018,859,331,718,111
250,114,77,2647,2032,4047,1088,842,1927,99
254,345,168,2962,2230,4212,1254,1504,2791,147
258,907,249,3294,2490,3948,1385,2849,3205,266
263,1324,335,5544,4331,5548,2761,3894,3676,331
267,1720,461,8331,7216,9919,4446,4473,5921,406
271,1953,595,8252,7284,9885,3800,4904,8941,435
275,2958,1007,6373,5666,7543,2636,7653,8241,764
279,5413,941,5317,4387,6094,2068,11370,6277,1099
283,5647,715,5073,4259,6425,2456,10884,5284,1010
288,4465,588,6789,5279,8528,3953,8397,5247,757
292,3662,555,9691,7337,12398,6256,7338,6526,661
296,3643,786,10793,8867,13847,6529,7522,8278,716
300,4905,1044,9076,7790,11371,4838,9762,8407,942
304,6926,1159,5682,5251,7013,2780,11632,7066,1277
308,7309,775,3154,2846,3810,1455,10987,4412,1244
313,6026,451,1757,1512,1850,776,7922,2580,816
317,4076,211,1024,795,986,390,4823,1612,462
321,2423,86,526,466,502,223,2605,996,240
325,1364,41,249,239,268,130,1512,566,119
329,769,14,159,162,162,58,989,378,97
333,408,8,151,133,129,42,602,213,39
338,212,10,426,292,399,195,321,108,24
342,98,9,999,802,1296,426,212,291,27
346,76,24,1952,1597,3059,948,324,704,102
350,136,58,2686,2127,4278,1145,850,2093,96
354,339,146,3065,2236,4345,1176,1552,3133,174
358,894,246,3441,2458,4091,1398,2925,3533,233
363,1495,371,5486,4274,5691,2917,3947,3885,315
367,1785,436,8562,7565,9985,4689,4382,6030,359
371,2109,597,8450,7567,10015,4040,4899,9428,443
375,3071,991,6463,5683,7998,2769,7784,8484,759
379,5435,991,5606,4403,6434,2303,12016,6601,1292
383,5775,762,5287,4382,6400,2472,10979,5537,1019
388,4579,598,7096,5427,9083,4153,8544,5416,771
392,3875,566,9743,7664,13141,6381,7566,6837,731
